element_type,osmid,barrier,geometry,addr:city,addr:street,name,nodes,leisure,old_name,name:en,wikidata,int_name,name:ar,tourism,wikipedia,name:fa,created_by,access,opening_hours,alt_name,ways,type
way,52709455,,"POLYGON ((59.583957 36.3124104, 59.584075 36.3125773, 59.5833443 36.3129141, 59.5830766 36.3125556, 59.583957 36.3124104))",,,بوستان کاج,"[668994161, 668994162, 668994163, 668994164, 668994161]",park,,Kaj Park,,,,,,,,,,,,
way,52945859,,"POLYGON ((59.6035158 36.3051444, 59.6046657 36.3047, 59.6052014 36.3052859, 59.6048759 36.3056273, 59.6046161 36.3055437, 59.6043958 36.3057859, 59.6035063 36.3051871, 59.6035158 36.3051444))",,,پارک کودک,"[670899646, 670899648, 670899649, 670899653, 670899654, 670899652, 1947151866, 670899646]",park,,Koodak Park,,,,,,,,,,,,
way,52945860,,"POLYGON ((59.6112407 36.3256818, 59.610184 36.3261254, 59.6101347 36.3260322, 59.6101898 36.3259479, 59.6110804 36.3254149, 59.6117543 36.3249974, 59.6123 36.3246737, 59.6127108 36.3243769, 59.6131604 36.3239945, 59.6135017 36.3236893, 59.6141626 36.323185, 59.6146567 36.3227556, 59.6150207 36.3224611, 59.6156819 36.3223752, 59.6158277 36.3224692, 59.6146745 36.3229754, 59.6148081 36.3231851, 59.6137071 36.3236573, 59.6138895 36.3239761, 59.6128703 36.324401, 59.612833 36.324512, 59.6129124 36.3246651, 59.6122361 36.3249336, 59.6121631 36.3250246, 59.611111 36.3254445, 59.6112407 36.3256818))",,,بوستان ربیع,"[670899684, 670899681, 7346542788, 670899680, 670899682, 670899739, 670899728, 670899730, 670899735, 670899736, 670899717, 670899723, 670899724, 670899720, 670899721, 670899726, 670899727, 670899733, 670899734, 670899729, 7346542894, 670899732, 670899737, 670899738, 670899683, 670899684]",park,,Rabi Park,,,,,,,,,,,,
way,52945862,,"POLYGON ((59.6117449 36.3285966, 59.6115133 36.3282515, 59.6116126 36.3281694, 59.6137344 36.3280066, 59.6129987 36.3283059, 59.6128729 36.3281324, 59.6117449 36.3285966))",,,,"[670899715, 670899716, 4969962691, 670899749, 670899746, 670899747, 670899715]",park,,,,,,,,,,,,,,
way,53171135,,"POLYGON ((59.6329834 36.3231816, 59.633067 36.3232792, 59.6337514 36.3241136, 59.6317633 36.3251199, 59.6317351 36.3250777, 59.6316096 36.3249296, 59.631526 36.3249642, 59.6313965 36.3247445, 59.6312028 36.3248276, 59.6309726 36.3249287, 59.6307273 36.3245995, 59.6307674 36.3245789, 59.6309524 36.3244842, 59.6310267 36.3244463, 59.6314642 36.3241462, 59.6315908 36.3240631, 59.6321426 36.3237009, 59.6329834 36.3231816))",,,پارک فجر,"[672844669, 724076978, 672844667, 672844672, 724076913, 672844680, 672844685, 672844688, 6503236694, 672844668, 672844676, 6503236696, 6503236693, 672844682, 724077133, 724076867, 724077143, 672844669]",park,,,,,,,,,,,,,,
way,53171136,,"POLYGON ((59.6292618 36.3298469, 59.6296573 36.3298055, 59.6299999 36.3297697, 59.6301452 36.3306594, 59.6293866 36.3305877, 59.6293278 36.3302386, 59.6292618 36.3298469))",,,بوستان بلال,"[672844675, 724329737, 672844670, 672844677, 672844683, 724329708, 672844675]",park,,Balal Park,,,,,,,,,,,,
way,54903025,,"POLYGON ((59.577833 36.3437904, 59.577489 36.3435604, 59.5780168 36.3429798, 59.5782438 36.3431136, 59.5789461 36.3423579, 59.5793763 36.342621, 59.577833 36.3437904))",,,بوستان رازقی,"[690985451, 690985450, 8900257944, 8900257943, 690985440, 690985441, 690985451]",park,,Razeghi park,,,,,,,,,,,,
way,54903044,,"POLYGON ((59.5975631 36.3337205, 59.5956588 36.3349218, 59.5950763 36.3343747, 59.5961523 36.3342455, 59.5961148 36.3339992, 59.5968068 36.3339257, 59.596788 36.3338285, 59.5968738 36.3338177, 59.5968416 36.333634, 59.5975122 36.3335627, 59.5975631 36.3337205))",,,,"[690985476, 690985477, 690985472, 5317032571, 5317032570, 5317032569, 5317032568, 5317032567, 5317032565, 5317032566, 690985476]",park,,,,,,,,,,,,,,
way,55512521,,"POLYGON ((59.5801896 36.3475292, 59.5800936 36.3475273, 59.5784106 36.3486113, 59.57803 36.3486945, 59.5777587 36.3489001, 59.5790426 36.3485133, 59.5804915 36.3478892, 59.5805337 36.3478119, 59.5801896 36.3475292))",مشهد,کنار گذر چراغچی,,"[697714152, 3521468591, 3521470299, 6459135047, 697714188, 697714155, 3521470294, 697714146, 697714152]",park,,,,,,,,,,,,,,
way,55512524,,"POLYGON ((59.5802129 36.3474243, 59.580523 36.3476814, 59.5846872 36.3450786, 59.5844632 36.3448539, 59.5802129 36.3474243))",مشهد,کنار گذر چراغچی,,"[697714154, 697714193, 697714187, 697714160, 697714154]",park,,,,,,,,,,,,,,
way,55512525,,"POLYGON ((59.5789522 36.3481629, 59.5795617 36.3474889, 59.5797818 36.347633, 59.5789522 36.3481629))",,,,"[697714166, 697714135, 697714194, 697714166]",park,,,,,,,,,,,,,,
way,56072735,,"POLYGON ((59.6305709 36.2912418, 59.6301427 36.2909142, 59.6300049 36.2907719, 59.629962 36.2906634, 59.629962 36.290546, 59.6300027 36.2904827, 59.6301202 36.2904082, 59.6304819 36.2903643, 59.6305709 36.2912418))",,,بوستان میرزا کوچک خان,"[703803432, 703803337, 703803357, 703803138, 703803480, 703803410, 703803321, 703803537, 703803432]",park,,Mirza Koochak Khan Park,,,,,,,,,,,,
way,56322472,,"POLYGON ((59.6180312 36.3235652, 59.6178311 36.3231422, 59.6180088 36.3230669, 59.6180907 36.3232662, 59.6182332 36.3232038, 59.6183336 36.3234378, 59.6180312 36.3235652))",,,,"[706667850, 706667884, 706667961, 706667835, 706667871, 706667875, 706667850]",park,,,,,,,,,,,,,,
way,56434174,,"POLYGON ((59.5863806 36.3279017, 59.5868904 36.3285466, 59.5863173 36.3288941, 59.586 36.32855, 59.5857947 36.3282961, 59.5863806 36.3279017))",,,بوستان ترنج,"[707238380, 707238342, 707238349, 5325431244, 707238360, 707238380]",park,,Toranj park,,,,,,,,,,,,
way,56695707,,"POLYGON ((59.5924596 36.3450642, 59.5914484 36.3440998, 59.5914781 36.343819, 59.5923223 36.3432688, 59.5923414 36.3436365, 59.5925075 36.3436256, 59.592532 36.3439579, 59.5929571 36.3436674, 59.5929462 36.3437873, 59.5929462 36.3438608, 59.5929707 36.343967, 59.5930143 36.3440623, 59.593066 36.3441277, 59.5931477 36.3442257, 59.5932346 36.344313, 59.5933454 36.3444312, 59.5924596 36.3450642))",,,شهربازی قهرمانان,"[709065924, 709065833, 709066108, 709065865, 709066072, 709065713, 709065905, 709065741, 709065974, 709066127, 709065929, 709066080, 709065884, 709066034, 709065841, 709065993, 709065924]",park,,,,,,theme_park,,,,,,,,
way,56752182,,"POLYGON ((59.5934491 36.349548, 59.5931875 36.3493049, 59.5935392 36.3490593, 59.5938008 36.3493024, 59.5934491 36.349548))",,,,"[710344763, 710344768, 710345012, 710344795, 710344763]",park,,,,,,,,,,,,,,
way,58426850,,"POLYGON ((59.6287849 36.3375899, 59.6283748 36.3371383, 59.6281278 36.3372798, 59.6279302 36.3370507, 59.6285164 36.3367117, 59.6291484 36.3374252, 59.6287849 36.3375899))",,,بوستان آزادی,"[724329687, 724329659, 724329696, 724329765, 724329688, 724329751, 724329687]",park,,Azadi Park,,,,,,,,,,,,
way,58430183,,"POLYGON ((59.6385687 36.3372724, 59.6385671 36.337658, 59.6390153 36.3372759, 59.6396095 36.3368297, 59.6399347 36.3366565, 59.6401888 36.3364278, 59.6403918 36.3360681, 59.6385687 36.3372724))",,,,"[724383794, 724383872, 9039677747, 9039692171, 724383903, 9039692170, 724383812, 724383794]",park,,,,,,,,,,,,,,
