,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
ناحیه ۳ منطقه ۱۲,54,0,125,793,1,2,0,52,0,66.67,"[{'lat': 36.4301655, 'lon': 59.473865}, {'lat': 36.4275577, 'lon': 59.4695217}, {'lat': 36.4224365, 'lon': 59.4609926}, {'lat': 36.4286203, 'lon': 59.4546389}, {'lat': 36.4363934, 'lon': 59.4455033}, {'lat': 36.4443383, 'lon': 59.4555531}]"
ناحیه ۳ منطقه ۴,14,0,164,1265,2,1,5,86,7,88.89,"[{'lat': 36.2973878, 'lon': 59.6619829}, {'lat': 36.2976841, 'lon': 59.6620971}, {'lat': 36.300384, 'lon': 59.6643957}, {'lat': 36.3013935, 'lon': 59.6652433}, {'lat': 36.3022171, 'lon': 59.6656617}, {'lat': 36.3032222, 'lon': 59.6657395}, {'lat': 36.3039485, 'lon': 59.6654069}, {'lat': 36.3045278, 'lon': 59.6650529}, {'lat': 36.3049645, 'lon': 59.6645996}, {'lat': 36.3053903, 'lon': 59.6639183}, {'lat': 36.3063543, 'lon': 59.6623103}]"
ناحیه ۲ منطقه ۴,3,0,80,507,1,9,3,48,10,88.89,"[{'lat': 36.3060047, 'lon': 59.6445943}, {'lat': 36.3017221, 'lon': 59.6487345}]"
ناحیه ۱ منطقه ۴,3,0,135,580,2,25,5,81,13,88.89,"[{'lat': 36.2939896, 'lon': 59.6608522}, {'lat': 36.2916513, 'lon': 59.660165}, {'lat': 36.2880812, 'lon': 59.6590606}]"
ناحیه ۳ منطقه ۲,21,2,488,1991,5,24,4,274,10,100.0,"[{'lat': 36.3617491, 'lon': 59.5737907}, {'lat': 36.3602973, 'lon': 59.5703924}, {'lat': 36.3576404, 'lon': 59.5679757}, {'lat': 36.3543895, 'lon': 59.5648348}, {'lat': 36.3531193, 'lon': 59.5636117}, {'lat': 36.3529233, 'lon': 59.5634275}, {'lat': 36.3516093, 'lon': 59.5621929}, {'lat': 36.3519052, 'lon': 59.5617771}, {'lat': 36.352603, 'lon': 59.5605272}, {'lat': 36.3535211, 'lon': 59.5589152}, {'lat': 36.3549705, 'lon': 59.5566514}, {'lat': 36.3566576, 'lon': 59.554102}, {'lat': 36.3572624, 'lon': 59.5534971}, {'lat': 36.3589782, 'lon': 59.5519828}]"
ناحیه ۲ منطقه ۲,61,0,263,1561,3,10,1,143,8,88.89,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3377113, 'lon': 59.603228}, {'lat': 36.3392582, 'lon': 59.599784}, {'lat': 36.3399398, 'lon': 59.5982627}]"
ناحیه ۴ منطقه ۲,45,0,311,1037,2,14,7,129,38,88.89,"[{'lat': 36.3434367, 'lon': 59.5903212}, {'lat': 36.3422268, 'lon': 59.5891195}, {'lat': 36.3384956, 'lon': 59.5851928}]"
ناحیه ۱ منطقه ۲,60,3,370,3146,5,58,28,470,66,100.0,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3377113, 'lon': 59.603228}, {'lat': 36.3392582, 'lon': 59.599784}, {'lat': 36.3399398, 'lon': 59.5982627}]"
شهید احمدی روشن,0,0,2,93,0,0,0,2,0,33.33,"[{'lat': 36.3826522, 'lon': 59.669795}, {'lat': 36.3818334, 'lon': 59.6696864}, {'lat': 36.3813616, 'lon': 59.6690421}, {'lat': 36.3805325, 'lon': 59.6694575}, {'lat': 36.3800861, 'lon': 59.6631562}, {'lat': 36.3792118, 'lon': 59.6631562}, {'lat': 36.3787467, 'lon': 59.663664}, {'lat': 36.3788955, 'lon': 59.6672647}, {'lat': 36.3780755, 'lon': 59.6667337}, {'lat': 36.3776477, 'lon': 59.6660643}, {'lat': 36.3774617, 'lon': 59.6644717}, {'lat': 36.3762525, 'lon': 59.6639177}, {'lat': 36.3755257, 'lon': 59.665233}, {'lat': 36.3756187, 'lon': 59.6676566}, {'lat': 36.374557, 'lon': 59.6684409}, {'lat': 36.3739642, 'lon': 59.6692307}, {'lat': 36.3732782, 'lon': 59.6697673}, {'lat': 36.3716506, 'lon': 59.6702947}, {'lat': 36.3703287, 'lon': 59.6717049}, {'lat': 36.369938, 'lon': 59.6735226}, {'lat': 36.3696854, 'lon': 59.674509}, {'lat': 36.370704, 'lon': 59.6748898}, {'lat': 36.369935, 'lon': 59.6767229}, {'lat': 36.3736453, 'lon': 59.6787669}, {'lat': 36.3747179, 'lon': 59.6777622}, {'lat': 36.3757783, 'lon': 59.6771217}, {'lat': 36.3776851, 'lon': 59.6776469}, {'lat': 36.3776107, 'lon': 59.6791934}, {'lat': 36.3784664, 'lon': 59.6791472}, {'lat': 36.3792291, 'lon': 59.6782932}, {'lat': 36.379936, 'lon': 59.6782239}, {'lat': 36.380194, 'lon': 59.6752685}, {'lat': 36.3811427, 'lon': 59.6745299}, {'lat': 36.3818868, 'lon': 59.6750146}, {'lat': 36.3823542, 'lon': 59.6748322}]"
شهید علی محمدی,2,0,0,107,1,0,0,9,0,44.44,"[{'lat': 36.3823542, 'lon': 59.6748322}, {'lat': 36.3828157, 'lon': 59.6746449}, {'lat': 36.3837458, 'lon': 59.6748757}, {'lat': 36.3839497, 'lon': 59.6759142}, {'lat': 36.3849541, 'lon': 59.6765835}, {'lat': 36.384213, 'lon': 59.6787038}, {'lat': 36.3851879, 'lon': 59.6795076}, {'lat': 36.3864784, 'lon': 59.6800685}, {'lat': 36.387463, 'lon': 59.6804143}, {'lat': 36.3896021, 'lon': 59.6804836}, {'lat': 36.3919552, 'lon': 59.6803269}, {'lat': 36.3925902, 'lon': 59.6803562}, {'lat': 36.3932195, 'lon': 59.6803034}]"
شهرک مهرگان,8,0,18,172,1,0,1,10,0,66.67,"[{'let': 36.3954131, 'lon': 59.661154}, {'let': 36.3954131, 'lon': 59.6773141}, {'let': 36.4316858, 'lon': 59.6773141}, {'let': 36.4316858, 'lon': 59.661154}, {'let': 36.3954131, 'lon': 59.661154}]"
شهید شهریاری,1,0,2,96,0,0,1,13,0,55.56,"[{'let': 36.3932195, 'lon': 59.672091}, {'let': 36.3932195, 'lon': 59.6832021}, {'let': 36.4066841, 'lon': 59.6832021}, {'let': 36.4066841, 'lon': 59.672091}, {'let': 36.3932195, 'lon': 59.672091}]"
گاز,3,0,95,307,1,16,2,36,3,88.89,"[{'let': 36.312966, 'lon': 59.6197165}, {'let': 36.312966, 'lon': 59.6398656}, {'let': 36.3273831, 'lon': 59.6398656}, {'let': 36.3273831, 'lon': 59.6197165}, {'let': 36.312966, 'lon': 59.6197165}]"
فاطمیه,2,0,57,288,0,18,3,34,4,77.78,"[{'let': 36.3056832, 'lon': 59.6161032}, {'let': 36.3056832, 'lon': 59.6374918}, {'let': 36.3201594, 'lon': 59.6374918}, {'let': 36.3201594, 'lon': 59.6161032}, {'let': 36.3056832, 'lon': 59.6161032}]"
راه آهن,1,0,50,331,3,6,4,93,2,88.89,"[{'let': 36.2959034, 'lon': 59.6144362}, {'let': 36.2959034, 'lon': 59.633549}, {'let': 36.3142779, 'lon': 59.633549}, {'let': 36.3142779, 'lon': 59.6144362}, {'let': 36.2959034, 'lon': 59.6144362}]"
شهید هاشمی نژاد,3,0,45,229,1,10,4,166,5,88.89,"[{'let': 36.2939669, 'lon': 59.6059469}, {'let': 36.2939669, 'lon': 59.6221947}, {'let': 36.3034924, 'lon': 59.6221947}, {'let': 36.3034924, 'lon': 59.6059469}, {'let': 36.2939669, 'lon': 59.6059469}]"
آیت الله کاشانی,0,0,30,365,1,7,5,121,6,77.78,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.3031026, 'lon': 59.609197}]"
رسالت,1,0,60,242,1,2,0,14,4,77.78,"[{'let': 36.3060047, 'lon': 59.6374918}, {'let': 36.3060047, 'lon': 59.6534938}, {'let': 36.3191666, 'lon': 59.6534938}, {'let': 36.3191666, 'lon': 59.6374918}, {'let': 36.3060047, 'lon': 59.6374918}]"
طبرسی شمالی,3,0,15,371,0,0,0,24,4,55.56,"[{'let': 36.3174804, 'lon': 59.6569204}, {'let': 36.3174804, 'lon': 59.6839915}, {'let': 36.3362619, 'lon': 59.6839915}, {'let': 36.3362619, 'lon': 59.6569204}, {'let': 36.3174804, 'lon': 59.6569204}]"
کوی دروی,0,0,46,300,2,1,0,66,0,55.56,"[{'let': 36.3165819, 'lon': 59.6398656}, {'let': 36.3165819, 'lon': 59.6546244}, {'let': 36.3301141, 'lon': 59.6546244}, {'let': 36.3301141, 'lon': 59.6398656}, {'let': 36.3165819, 'lon': 59.6398656}]"
سیس آباد,9,0,100,527,2,2,2,78,0,77.78,"[{'let': 36.3237005, 'lon': 59.637406}, {'let': 36.3237005, 'lon': 59.6754635}, {'let': 36.3536393, 'lon': 59.6754635}, {'let': 36.3536393, 'lon': 59.637406}, {'let': 36.3237005, 'lon': 59.637406}]"
عباس آباد,0,0,35,371,1,1,0,17,1,66.67,"[{'let': 36.3115926, 'lon': 59.6449792}, {'let': 36.3115926, 'lon': 59.6631082}, {'let': 36.3262937, 'lon': 59.6631082}, {'let': 36.3262937, 'lon': 59.6449792}, {'let': 36.3115926, 'lon': 59.6449792}]"
