subarea,area,name_subarea,name_area,coordinates_subarea,coordinates_area
https://www.openstreetmap.org/relation/10374716,https://www.openstreetmap.org/relation/8810329,خیرآباد,ناحیه ۲ منطقه ۳,Point(59.63782118 36.30653302),Point(59.651727389 36.321668658)
https://www.openstreetmap.org/relation/8796697,https://www.openstreetmap.org/relation/8810330,بلال,ناحیه ۳ منطقه ۳,Point(59.62779762 36.3285523),Point(59.631915145 36.336517771)
https://www.openstreetmap.org/relation/8796703,https://www.openstreetmap.org/relation/8810330,خواجه ربیع,ناحیه ۳ منطقه ۳,Point(59.636072457 36.338676342),Point(59.631915145 36.336517771)
https://www.openstreetmap.org/relation/8796704,https://www.openstreetmap.org/relation/8810330,بهمن,ناحیه ۳ منطقه ۳,Point(59.622076666 36.343920666),Point(59.631915145 36.336517771)
https://www.openstreetmap.org/relation/11009418,https://www.openstreetmap.org/relation/8810330,قائم,ناحیه ۳ منطقه ۳,Point(59.63735455 36.324572825),Point(59.631915145 36.336517771)
https://www.openstreetmap.org/relation/8785942,https://www.openstreetmap.org/relation/8863117,راهنمایی,ناحیه۱ منطقه ۱,Point(59.569123683 36.302792766),Point(59.561609475 36.31061317)
https://www.openstreetmap.org/relation/8785943,https://www.openstreetmap.org/relation/8863117,سجاد شهر,ناحیه۱ منطقه ۱,Point(59.552737577 36.321202266),Point(59.561609475 36.31061317)
https://www.openstreetmap.org/relation/8785944,https://www.openstreetmap.org/relation/8863117,احمد آباد,ناحیه۱ منطقه ۱,Point(59.56680894 36.291323399),Point(59.561609475 36.31061317)
https://www.openstreetmap.org/relation/8785946,https://www.openstreetmap.org/relation/8863117,فلسطین,ناحیه۱ منطقه ۱,Point(59.559032242 36.308574185),Point(59.561609475 36.31061317)
https://www.openstreetmap.org/relation/8785947,https://www.openstreetmap.org/relation/8863117,آبکوه,ناحیه۱ منطقه ۱,Point(59.568852619 36.30893196),Point(59.561609475 36.31061317)
https://www.openstreetmap.org/relation/8785948,https://www.openstreetmap.org/relation/8863117,ارشاد,ناحیه۱ منطقه ۱,Point(59.569782199 36.317276783),Point(59.561609475 36.31061317)
https://www.openstreetmap.org/relation/8785945,https://www.openstreetmap.org/relation/8863118,بهشت,ناحیه۲ منطقه ۱,Point(59.581537699 36.297029666),Point(59.58462575 36.305022755)
https://www.openstreetmap.org/relation/8785949,https://www.openstreetmap.org/relation/8863118,گوهرشاد,ناحیه۲ منطقه ۱,Point(59.577769971 36.313129257),Point(59.58462575 36.305022755)
https://www.openstreetmap.org/relation/8785950,https://www.openstreetmap.org/relation/8863118,کلاهدوز,ناحیه۲ منطقه ۱,Point(59.583878733 36.308042016),Point(59.58462575 36.305022755)
https://www.openstreetmap.org/relation/8785951,https://www.openstreetmap.org/relation/8863118,سناباد,ناحیه۲ منطقه ۱,Point(59.590592283 36.297503616),Point(59.58462575 36.305022755)
https://www.openstreetmap.org/relation/8785952,https://www.openstreetmap.org/relation/8863118,سعد آباد,ناحیه۲ منطقه ۱,Point(59.594009719 36.30494374),Point(59.58462575 36.305022755)
https://www.openstreetmap.org/relation/8824631,https://www.openstreetmap.org/relation/8873125,طرق,ناحیه ۳ منطقه ۷,Point(59.671988049 36.20981215),Point(59.652115174 36.204760169)
https://www.openstreetmap.org/relation/8824632,https://www.openstreetmap.org/relation/8873125,ایوان,ناحیه ۳ منطقه ۷,Point(59.655464316 36.201877416),Point(59.652115174 36.204760169)
https://www.openstreetmap.org/relation/8824633,https://www.openstreetmap.org/relation/8873125,رباط,ناحیه ۳ منطقه ۷,Point(59.632269859 36.202433099),Point(59.652115174 36.204760169)
https://www.openstreetmap.org/relation/8824629,https://www.openstreetmap.org/relation/8873126,عسگریه,ناحیه ۲ منطقه ۷,Point(59.6270433 36.2331362),Point(59.605822466 36.234694355)
https://www.openstreetmap.org/relation/8824630,https://www.openstreetmap.org/relation/8873126,انقلاب,ناحیه ۲ منطقه ۷,Point(59.620238983 36.2275173),Point(59.605822466 36.234694355)
https://www.openstreetmap.org/relation/8824634,https://www.openstreetmap.org/relation/8873126,شهرک ابوذر,ناحیه ۲ منطقه ۷,Point(59.61727602 36.21045874),Point(59.605822466 36.234694355)
https://www.openstreetmap.org/relation/8824635,https://www.openstreetmap.org/relation/8873126,شهرک بهارستان,ناحیه ۲ منطقه ۷,Point(59.604831533 36.2262457),Point(59.605822466 36.234694355)
https://www.openstreetmap.org/relation/8824636,https://www.openstreetmap.org/relation/8873126,کوی سیدی,ناحیه ۲ منطقه ۷,Point(59.607189785 36.2431438),Point(59.605822466 36.234694355)
https://www.openstreetmap.org/relation/8824637,https://www.openstreetmap.org/relation/8873126,کوی ولیعصر,ناحیه ۲ منطقه ۷,Point(59.592528628 36.239626957),Point(59.605822466 36.234694355)
https://www.openstreetmap.org/relation/8824638,https://www.openstreetmap.org/relation/8873126,کوی المهدی,ناحیه ۲ منطقه ۷,Point(59.59792185 36.249081024),Point(59.605822466 36.234694355)
https://www.openstreetmap.org/relation/8824639,https://www.openstreetmap.org/relation/8873126,ایمان,ناحیه ۲ منطقه ۷,Point(59.593253 36.25237285),Point(59.605822466 36.234694355)
https://www.openstreetmap.org/relation/8824640,https://www.openstreetmap.org/relation/8873127,کوی پلیس,ناحیه ۱ منطقه ۷,Point(59.610925399 36.251542987),Point(59.613773734 36.263571031)
https://www.openstreetmap.org/relation/8824641,https://www.openstreetmap.org/relation/8873127,پروین اعتصامی,ناحیه ۱ منطقه ۷,Point(59.614055583 36.258018883),Point(59.613773734 36.263571031)
https://www.openstreetmap.org/relation/8824642,https://www.openstreetmap.org/relation/8873127,مقدم,ناحیه ۱ منطقه ۷,Point(59.608922966 36.262250966),Point(59.613773734 36.263571031)
https://www.openstreetmap.org/relation/8824643,https://www.openstreetmap.org/relation/8873127,کارگران,ناحیه ۱ منطقه ۷,Point(59.62424355 36.262359466),Point(59.613773734 36.263571031)
https://www.openstreetmap.org/relation/8824644,https://www.openstreetmap.org/relation/8873127,هفده شهریور,ناحیه ۱ منطقه ۷,Point(59.615961083 36.267853616),Point(59.613773734 36.263571031)
https://www.openstreetmap.org/relation/8824645,https://www.openstreetmap.org/relation/8873127,کوشش,ناحیه ۱ منطقه ۷,Point(59.602557814 36.265508071),Point(59.613773734 36.263571031)
https://www.openstreetmap.org/relation/8824646,https://www.openstreetmap.org/relation/8873127,عنصری,ناحیه ۱ منطقه ۷,Point(59.6109149 36.277238928),Point(59.613773734 36.263571031)
https://www.openstreetmap.org/relation/8824866,https://www.openstreetmap.org/relation/8873128,شهید بهشتی,ناحیه ۲ منطقه ۸,Point(59.57940164 36.2789848),Point(59.57976204 36.273453243)
https://www.openstreetmap.org/relation/8824867,https://www.openstreetmap.org/relation/8873128,خمینی,ناحیه ۲ منطقه ۸,Point(59.587938028 36.273028914),Point(59.57976204 36.273453243)
https://www.openstreetmap.org/relation/8824868,https://www.openstreetmap.org/relation/8873128,خرمشهر,ناحیه ۲ منطقه ۸,Point(59.59302 36.26817144),Point(59.57976204 36.273453243)
https://www.openstreetmap.org/relation/8824869,https://www.openstreetmap.org/relation/8873128,امام رضا (ع),ناحیه ۲ منطقه ۸,Point(59.598327183 36.275215366),Point(59.57976204 36.273453243)
https://www.openstreetmap.org/relation/8824870,https://www.openstreetmap.org/relation/8873128,کوهسنگی,ناحیه ۲ منطقه ۸,Point(59.566139742 36.2831743),Point(59.57976204 36.273453243)
https://www.openstreetmap.org/relation/9068585,https://www.openstreetmap.org/relation/8873128,آبادگران,ناحیه ۲ منطقه ۸,Point(59.563385577 36.266342177),Point(59.57976204 36.273453243)
https://www.openstreetmap.org/relation/9068586,https://www.openstreetmap.org/relation/8873128,ترمینال مسافربری امام رضا,ناحیه ۲ منطقه ۸,Point(59.589811966 36.2599878),Point(59.57976204 36.273453243)
https://www.openstreetmap.org/relation/8824871,https://www.openstreetmap.org/relation/8873129,ده دی,ناحیه ۱ منطقه ۸,Point(59.5955891 36.285973536),Point(59.600659121 36.287259835)
https://www.openstreetmap.org/relation/8824872,https://www.openstreetmap.org/relation/8873129,جنت,ناحیه ۱ منطقه ۸,Point(59.595090825 36.290986175),Point(59.600659121 36.287259835)
https://www.openstreetmap.org/relation/8824873,https://www.openstreetmap.org/relation/8873129,سلام,ناحیه ۱ منطقه ۸,Point(59.60253354 36.27902066),Point(59.600659121 36.287259835)
https://www.openstreetmap.org/relation/8824874,https://www.openstreetmap.org/relation/8873129,دانش,ناحیه ۱ منطقه ۸,Point(59.605138639 36.28289554),Point(59.600659121 36.287259835)
https://www.openstreetmap.org/relation/8824875,https://www.openstreetmap.org/relation/8873129,آیت الله خامنه ای,ناحیه ۱ منطقه ۸,Point(59.607666259 36.28627338),Point(59.600659121 36.287259835)
https://www.openstreetmap.org/relation/8824876,https://www.openstreetmap.org/relation/8873129,سراب,ناحیه ۱ منطقه ۸,Point(59.603781185 36.294023157),Point(59.600659121 36.287259835)
https://www.openstreetmap.org/relation/8792420,https://www.openstreetmap.org/relation/8873130,شهید بصیر,ناحیه ۳ منطقه ۲,Point(59.522360625 36.39449755),Point(59.540008456 36.378934741)
https://www.openstreetmap.org/relation/8792421,https://www.openstreetmap.org/relation/8873130,شهرک مطهری,ناحیه ۳ منطقه ۲,Point(59.52803624 36.38978528),Point(59.540008456 36.378934741)
https://www.openstreetmap.org/relation/8792422,https://www.openstreetmap.org/relation/8873130,مشهدقلی,ناحیه ۳ منطقه ۲,Point(59.53051898 36.38754916),Point(59.540008456 36.378934741)
https://www.openstreetmap.org/relation/8792423,https://www.openstreetmap.org/relation/8873130,توس,ناحیه ۳ منطقه ۲,Point(59.53531266 36.38388414),Point(59.540008456 36.378934741)
https://www.openstreetmap.org/relation/8792424,https://www.openstreetmap.org/relation/8873130,مهدی آباد,ناحیه ۳ منطقه ۲,Point(59.55199982 36.36762292),Point(59.540008456 36.378934741)
https://www.openstreetmap.org/relation/8792425,https://www.openstreetmap.org/relation/8873130,نوده,ناحیه ۳ منطقه ۲,Point(59.545881416 36.37622965),Point(59.540008456 36.378934741)
https://www.openstreetmap.org/relation/8792426,https://www.openstreetmap.org/relation/8873130,حضرت حجت,ناحیه ۳ منطقه ۲,Point(59.55907996 36.36092126),Point(59.540008456 36.378934741)
https://www.openstreetmap.org/relation/8788794,https://www.openstreetmap.org/relation/8873131,وحدت,ناحیه ۲ منطقه ۲,Point(59.599574911 36.353715988),Point(59.586101205 36.352339432)
https://www.openstreetmap.org/relation/8792427,https://www.openstreetmap.org/relation/8873131,نوید,ناحیه ۲ منطقه ۲,Point(59.570371271 36.353366971),Point(59.586101205 36.352339432)
https://www.openstreetmap.org/relation/8788795,https://www.openstreetmap.org/relation/8873132,فدک,ناحیه ۴ منطقه ۲,Point(59.573740866 36.345941283),Point(59.565278852 36.336269964)
https://www.openstreetmap.org/relation/8788796,https://www.openstreetmap.org/relation/8873132,امیر,ناحیه ۴ منطقه ۲,Point(59.582316471 36.339509571),Point(59.565278852 36.336269964)
https://www.openstreetmap.org/relation/8788797,https://www.openstreetmap.org/relation/8873132,بهاران,ناحیه ۴ منطقه ۲,Point(59.557145742 36.343178114),Point(59.565278852 36.336269964)
https://www.openstreetmap.org/relation/8788798,https://www.openstreetmap.org/relation/8873132,جانباز,ناحیه ۴ منطقه ۲,Point(59.565803462 36.333662787),Point(59.565278852 36.336269964)
https://www.openstreetmap.org/relation/8788799,https://www.openstreetmap.org/relation/8873132,شهید فرامرز عباسی,ناحیه ۴ منطقه ۲,Point(59.5495387 36.332984337),Point(59.565278852 36.336269964)
https://www.openstreetmap.org/relation/8788800,https://www.openstreetmap.org/relation/8873133,هدایت,ناحیه ۱ منطقه ۲,Point(59.598967619 36.33574504),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8788801,https://www.openstreetmap.org/relation/8873133,قائم,ناحیه ۱ منطقه ۲,Point(59.584363414 36.332954614),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8788802,https://www.openstreetmap.org/relation/8873133,ایثارگران,ناحیه ۱ منطقه ۲,Point(59.612813842 36.330565385),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8788803,https://www.openstreetmap.org/relation/8873133,شفا,ناحیه ۱ منطقه ۲,Point(59.6159558 36.32538472),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8788804,https://www.openstreetmap.org/relation/8873133,عامل,ناحیه ۱ منطقه ۲,Point(59.594638849 36.311034525),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8788805,https://www.openstreetmap.org/relation/8873133,شهید مطهری,ناحیه ۱ منطقه ۲,Point(59.59979295 36.315584566),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8788806,https://www.openstreetmap.org/relation/8873133,عبادی,ناحیه ۱ منطقه ۲,Point(59.6077043 36.31029798),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8788807,https://www.openstreetmap.org/relation/8873133,هنرور,ناحیه ۱ منطقه ۲,Point(59.606331966 36.322970066),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8788808,https://www.openstreetmap.org/relation/8873133,سمزقند,ناحیه ۱ منطقه ۲,Point(59.614646433 36.317000883),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009422,https://www.openstreetmap.org/relation/8873133,حجت,ناحیه ۱ منطقه ۲,Point(59.593488199 36.319467283),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009423,https://www.openstreetmap.org/relation/8873133,نکاح,ناحیه ۱ منطقه ۲,Point(59.59881446 36.32051),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009424,https://www.openstreetmap.org/relation/8873133,یاس,ناحیه ۱ منطقه ۲,Point(59.600675316 36.327771716),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009428,https://www.openstreetmap.org/relation/8873133,فتح المبین,ناحیه ۱ منطقه ۲,Point(59.582071116 36.3253765),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009429,https://www.openstreetmap.org/relation/8873133,خاتم الانبیا,ناحیه ۱ منطقه ۲,Point(59.58625118 36.31896634),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009430,https://www.openstreetmap.org/relation/8873133,گلبرگ شمالی,ناحیه ۱ منطقه ۲,Point(59.593964966 36.329407166),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009431,https://www.openstreetmap.org/relation/8873133,موسوی قوچانی,ناحیه ۱ منطقه ۲,Point(59.593825442 36.332304685),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009432,https://www.openstreetmap.org/relation/8873133,آپارتمان های مرتفع,ناحیه ۱ منطقه ۲,Point(59.5766758 36.326568975),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009433,https://www.openstreetmap.org/relation/8873133,گلبرگ,ناحیه ۱ منطقه ۲,Point(59.59007395 36.325123433),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/11009435,https://www.openstreetmap.org/relation/8873133,زمرد,ناحیه ۱ منطقه ۲,Point(59.593212585 36.338720542),Point(59.597449172 36.324038238)
https://www.openstreetmap.org/relation/8810560,https://www.openstreetmap.org/relation/8873134,پنجتن,ناحیه ۳ منطقه ۴,Point(59.669314824 36.306401949),Point(59.675349981 36.311876878)
