,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
شهید فرامرز عباسی,1,0,92,163,1,2,4,12,5,88.89,"{'minlat': 36.325304, 'minlon': 59.543501, 'maxlat': 36.340026, 'maxlon': 59.5536768}"
هدایت,0,0,14,96,0,1,0,4,0,44.44,"{'minlat': 36.3318039, 'minlon': 59.5950365, 'maxlat': 36.3380656, 'maxlon': 59.6049365}"
ایثارگران,5,2,352,1339,2,11,3,202,2,100.0,"{'minlat': 36.3658332, 'minlon': 59.4980271, 'maxlat': 36.3997806, 'maxlon': 59.5448811}"
شفا,0,0,28,256,0,2,0,8,0,44.44,"{'minlat': 36.3201594, 'minlon': 59.6056956, 'maxlat': 36.3286706, 'maxlon': 59.6231243}"
شهید مطهری,0,0,20,378,0,3,1,47,3,66.67,"{'minlat': 36.3095457, 'minlon': 59.5936793, 'maxlat': 36.32058, 'maxlon': 59.608815}"
عامل,17,0,85,940,1,15,7,178,6,88.89,"{'minlat': 36.2979703, 'minlon': 59.5859143, 'maxlat': 36.3200526, 'maxlon': 59.609197}"
عبادی,2,0,26,485,1,6,2,70,5,88.89,"{'minlat': 36.3031026, 'minlon': 59.5988868, 'maxlat': 36.3166142, 'maxlon': 59.6144362}"
هنرور,0,0,16,348,0,1,0,22,2,55.56,"{'minlat': 36.3166142, 'minlon': 59.6005654, 'maxlat': 36.3286706, 'maxlon': 59.6158853}"
سمزقند,0,0,41,207,0,7,1,29,2,66.67,"{'minlat': 36.3115763, 'minlon': 59.608815, 'maxlat': 36.3216702, 'maxlon': 59.6197165}"
حجت,2,0,20,186,0,3,0,8,0,55.56,"{'minlat': 36.3141126, 'minlon': 59.5895916, 'maxlat': 36.3265076, 'maxlon': 59.5980051}"
نکاح,0,0,18,151,0,0,0,20,0,33.33,"{'minlat': 36.3154388, 'minlon': 59.5949936, 'maxlat': 36.3247999, 'maxlon': 59.6037939}"
فتح المبین,2,0,36,133,1,1,4,51,30,88.89,"{'minlat': 36.3194043, 'minlon': 59.5779052, 'maxlat': 36.3308402, 'maxlon': 59.5900865}"
خاتم الانبیا,3,1,238,477,0,6,2,54,6,88.89,"{'minlat': 36.363589, 'minlon': 59.5148767, 'maxlat': 36.3837383, 'maxlon': 59.5363659}"
یاس,0,0,8,148,0,1,0,7,0,44.44,"{'minlat': 36.3229335, 'minlon': 59.5956387, 'maxlat': 36.3318039, 'maxlon': 59.6056956}"
گلبرگ شمالی,0,0,8,77,0,0,0,2,3,44.44,"{'minlat': 36.3265076, 'minlon': 59.5906268, 'maxlat': 36.3302092, 'maxlon': 59.5984161}"
موسوی قوچانی,0,0,7,125,0,1,0,1,1,55.56,"{'minlat': 36.3294853, 'minlon': 59.5900865, 'maxlat': 36.3362334, 'maxlon': 59.6008649}"
آپارتمان های مرتفع,7,0,36,11,0,1,0,11,0,55.56,"{'minlat': 36.3236348, 'minlon': 59.5699889, 'maxlat': 36.3315986, 'maxlon': 59.5794153}"
گلبرگ,0,0,16,189,0,2,0,5,3,55.56,"{'minlat': 36.3200526, 'minlon': 59.5858097, 'maxlat': 36.3304901, 'maxlon': 59.5956387}"
زمرد,23,0,27,172,0,3,0,14,6,66.67,"{'minlat': 36.3354555, 'minlon': 59.5851928, 'maxlat': 36.3434367, 'maxlon': 59.5982627}"
پنجتن,3,0,106,335,1,1,5,21,2,88.89,"{'minlat': 36.2971032, 'minlon': 59.661161, 'maxlat': 36.3134718, 'maxlon': 59.6813835}"
رده,0,0,31,426,1,0,0,11,4,55.56,"{'minlat': 36.3070373, 'minlon': 59.6534938, 'maxlat': 36.320111, 'maxlon': 59.6732752}"
پنجتن آل عبا,6,0,66,358,1,0,0,19,1,66.67,"{'minlat': 36.3058221, 'minlon': 59.675205, 'maxlat': 36.3251284, 'maxlon': 59.7065735}"
شهید قربانی,2,0,39,548,0,0,0,32,5,55.56,"{'minlat': 36.3125597, 'minlon': 59.6673381, 'maxlat': 36.3321467, 'maxlon': 59.6998804}"
ابوذر,1,0,16,248,0,3,0,4,1,66.67,"{'minlat': 36.3017221, 'minlon': 59.6445943, 'maxlat': 36.3115926, 'maxlon': 59.659034}"
وحید,0,0,35,235,0,2,0,11,2,55.56,"{'minlat': 36.2990805, 'minlon': 59.6487345, 'maxlat': 36.3082607, 'maxlon': 59.6623103}"
تلگرد,0,0,67,278,1,7,3,32,3,77.78,"{'minlat': 36.2935832, 'minlon': 59.6502015, 'maxlat': 36.3063543, 'maxlon': 59.6657395}"
ایثار,2,0,41,183,0,15,0,38,6,66.67,"{'minlat': 36.2892256, 'minlon': 59.6282883, 'maxlat': 36.3018205, 'maxlon': 59.6458698}"
گلشور,2,0,74,294,2,9,4,47,7,88.89,"{'minlat': 36.2880812, 'minlon': 59.6419819, 'maxlat': 36.3017221, 'maxlon': 59.6608522}"
طلاب,1,0,16,107,0,12,1,17,7,77.78,"{'minlat': 36.2975392, 'minlon': 59.6378606, 'maxlat': 36.3060047, 'maxlon': 59.6487345}"
امیریه,3,1,317,775,2,12,2,140,5,100.0,"{'minlat': 36.3711138, 'minlon': 59.4694998, 'maxlat': 36.4020205, 'maxlon': 59.5199128}"
